                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.70719,                0.46035,                0.86425,                0.65319,                0.49835,                0.55366,                 0.3685,                 1.0312,                0.65959,                0.96892,             0.00081991,             0.00081991,             0.00081991
                    102,                0.69944,                0.45767,                0.85794,                0.78279,                0.45966,                0.53031,                0.36675,                 1.0101,                0.66731,                0.96119,             0.00081901,             0.00081901,             0.00081901
                    103,                0.69986,                0.44259,                0.85241,                0.67564,                0.55986,                0.57698,                0.36571,                 1.0074,                0.65007,                0.95606,             0.00081811,             0.00081811,             0.00081811
                    104,                0.70366,                0.45174,                0.85708,                0.77222,                0.51859,                0.58141,                0.39169,                 1.0188,                0.64009,                0.96515,             0.00081721,             0.00081721,             0.00081721
                    105,                0.70333,                0.45431,                0.85189,                0.79849,                0.50828,                0.59442,                0.40681,                  1.021,                0.65155,                0.96947,             0.00081631,             0.00081631,             0.00081631
                    106,                0.69076,                0.44336,                0.84953,                0.80938,                0.47765,                0.54989,                0.36807,                 1.0257,                0.64783,                0.96885,             0.00081541,             0.00081541,             0.00081541
                    107,                0.69282,                0.44199,                0.85127,                0.58645,                0.50239,                0.51244,                0.34445,                 1.0071,                0.65578,                0.96468,             0.00081451,             0.00081451,             0.00081451
                    108,                0.68806,                0.43881,                 0.8533,                0.75833,                0.48415,                0.56232,                0.39421,                 1.0129,                0.64773,                0.96806,             0.00081361,             0.00081361,             0.00081361
                    109,                 0.6813,                0.44149,                0.85171,                0.70678,                0.52683,                0.59401,                0.42674,                 1.0164,                0.65712,                0.95759,             0.00081271,             0.00081271,             0.00081271
                    110,                0.69818,                0.43689,                0.85397,                0.63967,                0.59416,                0.56074,                0.35969,                 1.0236,                0.65174,                0.96552,             0.00081181,             0.00081181,             0.00081181
                    111,                0.68629,                0.44011,                0.84756,                0.64102,                0.53203,                0.56441,                0.36992,                0.97996,                0.63805,                0.95211,             0.00081091,             0.00081091,             0.00081091
                    112,                0.67104,                0.43334,                0.85285,                0.67534,                0.53833,                0.55979,                0.37761,                0.99997,                0.65511,                0.96053,             0.00081001,             0.00081001,             0.00081001
                    113,                0.69572,                0.43922,                0.85619,                0.61677,                0.59811,                0.57111,                0.37675,                 1.0179,                 0.6354,                0.95711,             0.00080911,             0.00080911,             0.00080911
                    114,                0.69177,                0.44003,                  0.851,                0.72275,                0.55971,                0.59396,                0.39394,                0.98637,                0.61945,                0.95044,             0.00080821,             0.00080821,             0.00080821
                    115,                0.67639,                0.42968,                0.84436,                 0.6617,                0.48689,                0.58459,                0.41121,                 1.0145,                0.64356,                0.95808,             0.00080731,             0.00080731,             0.00080731
                    116,                0.66615,                0.42809,                0.84842,                0.69441,                0.54019,                0.59526,                0.41671,                 1.0056,                0.63819,                0.95637,             0.00080641,             0.00080641,             0.00080641
                    117,                0.66725,                0.42942,                0.84861,                0.61937,                0.50888,                0.53973,                0.37217,                 1.0168,                0.65276,                0.96136,             0.00080551,             0.00080551,             0.00080551
                    118,                0.69223,                0.44026,                0.84646,                0.61322,                0.51708,                0.55238,                0.37605,                 0.9958,                0.65562,                0.95617,             0.00080461,             0.00080461,             0.00080461
                    119,                0.66905,                 0.4224,                 0.8495,                 0.7023,                0.54031,                0.58253,                0.40439,                0.97773,                0.64244,                 0.9575,             0.00080371,             0.00080371,             0.00080371
                    120,                0.68536,                0.42953,                 0.8455,                0.67594,                0.49091,                0.56785,                0.38641,                 1.0037,                0.63295,                0.96442,             0.00080281,             0.00080281,             0.00080281
                    121,                0.67313,                0.42359,                0.84296,                0.53295,                0.54259,                0.53419,                0.36135,                 1.0085,                0.63681,                0.96163,             0.00080191,             0.00080191,             0.00080191
                    122,                0.66781,                0.42508,                0.85189,                0.55202,                0.55603,                0.55068,                0.36644,                 1.0088,                0.66245,                0.96785,             0.00080101,             0.00080101,             0.00080101
                    123,                0.68342,                0.43425,                0.85205,                0.58006,                0.51877,                0.52943,                0.35949,                 1.0053,                0.66425,                 0.9664,             0.00080011,             0.00080011,             0.00080011
                    124,                 0.6753,                0.42639,                0.84558,                0.45162,                 0.5609,                0.50663,                0.33573,                 1.0209,                 0.6544,                0.96864,             0.00079921,             0.00079921,             0.00079921
                    125,                0.67169,                0.42277,                0.84418,                0.50928,                0.54076,                0.49502,                0.33314,                 1.0028,                  0.637,                0.95729,             0.00079831,             0.00079831,             0.00079831
                    126,                0.66616,                0.42134,                 0.8469,                0.66459,                0.44385,                0.50342,                0.32178,                0.99622,                0.63651,                0.95959,             0.00079741,             0.00079741,             0.00079741
                    127,                0.65977,                0.42232,                0.84653,                0.57035,                0.51599,                0.55213,                0.37005,                 1.0078,                0.64817,                0.95511,             0.00079651,             0.00079651,             0.00079651
                    128,                0.67801,                0.42658,                0.84464,                0.68067,                0.51831,                0.56185,                0.37715,                0.99141,                0.63899,                0.95007,             0.00079561,             0.00079561,             0.00079561
                    129,                0.66916,                0.42847,                0.84652,                0.69987,                0.52502,                0.54987,                0.36637,                 1.0089,                0.66679,                0.95598,             0.00079471,             0.00079471,             0.00079471
                    130,                0.65669,                0.41758,                0.84314,                0.58785,                0.55484,                0.53537,                  0.371,                0.99526,                0.64818,                 0.9524,             0.00079381,             0.00079381,             0.00079381
                    131,                0.64748,                0.41362,                0.83934,                0.79639,                0.45549,                0.55838,                0.36879,                0.99172,                0.62785,                 0.9549,             0.00079291,             0.00079291,             0.00079291
                    132,                0.64428,                0.41318,                0.84552,                0.62556,                0.53709,                0.53498,                0.37727,                 1.0235,                0.63996,                0.97072,             0.00079201,             0.00079201,             0.00079201
                    133,                0.64366,                0.40071,                0.84163,                0.68411,                0.50482,                0.55102,                0.34989,                 1.0035,                0.65664,                0.96033,             0.00079111,             0.00079111,             0.00079111
                    134,                0.66012,                0.41632,                 0.8447,                0.60001,                0.56004,                0.54982,                  0.382,                 1.0026,                0.64608,                0.95775,             0.00079021,             0.00079021,             0.00079021
